Age,Educational_Level,Income,Adults,Children,Babies,Visted_Previously,Previous_Cancellations,Required_Car_Parking,Reservation_Status,Use_Promotion,Discount_Rate,Room_Rate,Gender_M,Ethnicity_Asian American,Ethnicity_Latino,Ethnicity_caucasian,Country_region_North,Country_region_South,Country_region_West,Hotel_Type_City Hotel,Hotel_Type_Resort,Meal_Type_FB,Meal_Type_HB,Deposit_type_Non-Refundable,Deposit_type_Refundable,Booking_channel_Direct,Booking_channel_Online,Booking_Lead_Time,Total_Guests
40,3,0.0,4,2,0.0,No,No,Yes,check-out,Yes,0,106.4402414,True,False,True,False,True,False,False,True,False,False,False,False,False,False,True,41,6.0
49,3,2.0,1,3,0.0,No,No,Yes,check-out,No,0,158.039564,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,36,4.0
42,2,0.0,1,3,0.0,No,No,Yes,check-out,No,0,212.6107804,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,3,4.0
25,3,3.0,3,3,0.0,No,No,Yes,check-out,Yes,5,106.1464073,True,False,True,False,False,True,False,True,False,False,False,False,False,False,False,12,6.0
62,4,1.0,1,1,0.0,No,No,No,check-out,Yes,10,159.3844392,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,13,2.0
34,2,3.0,1,2,2.0,Yes,No,No,check-out,Yes,25,199.500689,True,False,False,True,True,False,False,True,False,False,False,False,False,False,True,13,5.0
53,4,0.0,2,1,0.0,Yes,Yes,Yes,check-out,Yes,10,188.5449855,True,False,True,False,False,False,False,True,False,False,False,False,False,False,True,-1,3.0
40,2,3.0,1,1,0.0,No,No,Yes,check-out,No,10,140.7288106,False,False,False,True,True,False,False,False,False,True,False,False,False,False,True,8,2.0
59,2,3.0,4,2,1.0,No,No,Yes,check-out,Yes,10,153.5702315,True,False,False,True,False,False,True,True,False,False,False,False,False,True,False,84,7.0
21,2,2.0,2,3,0.0,Yes,No,No,check-out,Yes,20,212.0,False,True,False,False,False,False,True,False,True,False,True,True,False,False,True,72,5.0
69,2,0.0,1,3,0.0,No,No,No,check-out,No,5,127.9926686,False,False,False,True,False,True,False,False,False,False,False,False,True,False,True,20,4.0
52,2,2.0,5,3,0.0,Yes,No,Yes,check-out,Yes,20,208.0,False,True,False,False,False,True,False,False,True,False,True,True,False,False,True,34,8.0
55,2,1.0,1,2,1.0,Yes,No,No,check-out,No,15,163.8362223,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,67,4.0
42,2,0.0,2,2,2.0,Yes,No,Yes,check-out,Yes,15,180.0,False,True,False,False,False,False,False,False,True,False,True,True,False,False,True,14,6.0
69,2,1.0,3,2,0.0,No,No,Yes,check-out,Yes,15,181.8751892,True,False,False,True,False,False,True,True,False,False,False,False,False,False,True,35,5.0
42,1,3.0,2,3,0.0,No,No,Yes,check-out,Yes,10,142.946711,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,67,5.0
22,2,1.0,3,2,0.0,No,No,Yes,check-out,No,25,220.0,False,True,False,False,False,True,False,False,True,False,False,True,False,False,False,34,5.0
32,2,0.0,1,1,0.0,Yes,No,No,check-out,No,20,179.4932582,True,False,True,False,False,True,False,True,False,False,False,False,False,True,False,11,2.0
55,2,0.0,1,1,0.0,No,No,Yes,check-out,Yes,10,134.2839748,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,-1,2.0
62,3,2.0,1,1,0.0,No,No,Yes,check-out,No,5,124.6627745,True,False,True,False,False,False,True,True,False,False,False,False,False,False,True,6,2.0
22,2,0.0,1,3,1.0,No,No,Yes,check-out,Yes,20,199.6816007,True,False,False,True,False,False,False,True,False,False,False,False,False,True,False,36,5.0
62,4,3.0,3,2,0.0,No,No,No,check-out,Yes,10,129.3168104,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,68,5.0
45,4,1.0,2,1,0.0,No,No,Yes,check-out,Yes,5,115.9799437,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,71,3.0
53,2,1.0,2,3,0.0,No,No,No,check-out,Yes,5,122.238791,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,69,5.0
33,2,2.0,5,1,0.0,No,No,Yes,check-out,Yes,5,101.0,False,True,False,False,False,True,False,False,True,False,True,True,False,True,False,125,6.0
32,2,0.0,3,1,0.0,Yes,No,Yes,check-out,No,0,105.0,False,True,False,False,False,True,False,False,True,False,False,True,False,False,True,77,4.0
43,2,0.0,2,2,0.0,Yes,No,Yes,check-out,No,10,102.8834774,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,47,4.0
38,2,1.0,4,2,2.0,No,No,Yes,check-out,Yes,5,137.7155635,True,False,False,True,False,False,True,True,False,False,False,False,False,False,False,59,8.0
18,4,0.0,1,2,1.0,Yes,No,Yes,check-out,Yes,15,179.9215391,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,76,4.0
66,4,2.0,2,1,0.0,No,No,Yes,check-out,No,5,135.5894959,True,False,True,False,False,True,False,True,False,False,False,False,False,False,True,97,3.0
44,2,0.0,1,1,1.0,No,No,Yes,check-out,Yes,5,128.9659414,True,False,False,True,True,False,False,True,False,False,False,False,False,False,True,115,3.0
43,2,1.0,4,2,0.0,No,No,Yes,check-out,Yes,0,148.951443,True,False,True,False,False,False,False,True,False,False,False,False,False,False,True,94,6.0
29,4,1.0,3,2,0.0,No,No,Yes,check-out,No,10,147.2360426,False,False,False,True,False,True,False,False,False,False,False,False,True,False,True,95,5.0
54,4,2.0,2,2,2.0,Yes,No,Yes,check-out,No,10,159.2485494,True,False,False,True,False,True,False,True,False,False,False,False,False,False,True,68,6.0
48,2,2.0,2,2,0.0,No,No,Yes,check-out,Yes,5,127.5772825,True,False,True,False,False,True,False,True,False,False,False,False,False,False,True,42,4.0
43,3,2.0,3,1,2.0,No,No,No,check-out,Yes,10,132.1801042,True,False,True,False,False,False,False,True,False,False,False,False,False,False,True,39,6.0
43,4,3.0,1,2,0.0,No,No,Yes,check-out,No,25,221.5784337,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,12,3.0
23,2,2.0,2,1,1.0,Yes,No,No,check-out,Yes,5,132.0441536,False,False,False,True,True,False,False,False,False,False,False,False,True,False,True,35,4.0
43,4,1.0,2,2,0.0,Yes,No,No,check-out,No,10,145.2578103,True,False,False,True,False,True,False,True,False,False,False,False,False,False,False,39,4.0
21,2,2.0,1,2,0.0,No,No,Yes,check-out,Yes,10,183.2342889,False,False,False,True,False,True,False,False,False,False,True,False,False,True,False,66,3.0
35,3,1.0,1,1,1.0,No,No,Yes,check-out,Yes,0,159.0,False,True,False,False,False,True,False,False,True,False,False,True,False,False,True,44,3.0
36,3,1.0,2,2,0.0,No,No,No,check-out,Yes,10,177.8402115,True,False,True,False,False,True,False,True,False,False,False,False,False,False,True,42,4.0
51,1,2.0,1,1,2.0,No,No,Yes,check-out,Yes,0,147.2536312,True,False,True,False,False,False,False,True,False,False,False,False,False,True,False,15,4.0
29,2,2.0,1,1,1.0,Yes,Yes,Yes,check-out,Yes,0,176.723088,True,False,False,True,True,False,False,False,False,False,True,False,False,False,True,69,3.0
68,2,2.0,1,2,0.0,No,No,Yes,check-out,No,20,181.0979025,True,False,True,False,False,False,False,True,False,False,False,False,False,True,False,103,3.0
44,2,2.0,1,1,0.0,No,No,Yes,check-out,No,0,126.6356128,False,False,False,True,False,False,True,False,False,False,False,False,True,True,False,44,2.0
62,4,0.0,2,2,0.0,Yes,No,Yes,check-out,Yes,10,148.7617352,True,False,True,False,False,True,False,True,False,False,False,False,False,False,True,94,4.0
68,4,0.0,1,1,0.0,No,No,Yes,check-out,Yes,5,127.3571972,True,False,True,False,False,True,False,True,False,False,False,False,False,False,True,112,2.0
69,4,0.0,2,2,0.0,No,No,Yes,check-out,No,0,104.7839053,False,False,False,False,False,True,False,False,False,False,True,False,True,False,True,86,4.0
66,2,3.0,1,2,0.0,No,No,Yes,check-out,Yes,0,145.4894477,True,False,True,False,True,False,False,True,False,False,True,False,False,True,False,49,3.0
32,4,2.0,2,2,2.0,Yes,No,Yes,check-out,Yes,5,157.1101128,True,False,True,False,False,True,False,True,False,False,False,False,False,False,True,110,6.0
59,2,1.0,2,1,0.0,No,No,No,check-out,Yes,15,180.9660804,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,92,3.0
44,4,2.0,1,2,1.0,No,No,Yes,check-out,No,0,114.9734988,True,False,False,True,False,False,True,True,False,False,False,False,False,False,False,75,4.0
48,2,2.0,3,2,0.0,Yes,Yes,No,check-out,Yes,15,175.0,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,2,5.0
28,2,3.0,1,2,2.0,No,No,Yes,check-out,Yes,5,116.6706416,True,False,True,False,True,False,False,True,False,False,False,False,False,False,True,-3,5.0
67,2,2.0,2,1,0.0,Yes,Yes,No,check-out,Yes,0,158.0,False,True,False,False,False,True,False,False,True,False,False,True,False,False,True,0,3.0
63,2,3.0,1,2,0.0,No,No,Yes,check-out,Yes,0,107.273202,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,-1,3.0
38,2,2.0,2,1,0.0,Yes,No,Yes,check-out,Yes,20,215.5123431,True,False,True,False,True,False,False,True,False,False,False,False,False,False,True,-1,3.0
21,2,1.0,2,2,1.0,Yes,No,Yes,check-out,Yes,10,192.4506965,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,-1,5.0
60,2,3.0,4,1,1.0,No,No,Yes,check-out,Yes,5,128.9656235,True,False,True,False,False,True,False,True,False,False,False,False,False,False,True,13,6.0
26,4,0.0,3,1,1.0,No,No,Yes,check-out,Yes,30,225.0,False,True,False,False,False,False,False,False,True,False,False,True,False,True,False,9,5.0
52,2,3.0,2,1,0.0,Yes,No,No,check-out,Yes,15,201.3008343,True,False,False,True,False,True,False,True,False,False,False,False,False,False,True,4,3.0
24,3,1.0,2,2,1.0,Yes,No,Yes,check-out,No,0,123.231517,True,False,True,False,False,True,False,True,False,False,False,False,False,True,False,16,5.0
60,4,0.0,1,2,0.0,Yes,Yes,Yes,check-out,Yes,5,118.6189876,True,False,False,True,False,True,False,False,False,False,False,False,False,False,True,92,3.0
26,2,1.0,3,3,0.0,Yes,Yes,No,check-out,Yes,25,212.2696647,False,False,False,False,True,False,False,False,False,False,True,False,True,False,True,1,6.0
26,4,0.0,2,1,1.0,Yes,No,Yes,check-out,Yes,10,149.4367436,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False,9,4.0
69,2,3.0,2,1,0.0,No,No,Yes,check-out,Yes,10,151.2309463,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,2,3.0
56,1,0.0,1,3,0.0,Yes,No,Yes,check-out,No,20,204.0,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,50,4.0
42,2,2.0,1,1,0.0,Yes,No,No,check-out,Yes,5,114.3071515,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,70,2.0
